Comentário;Sentimento
Nada resolvido muito insatisfeito com a plataforma;Negativo
Não resolveu meu problema;Negativo
Atendente educada e rápida;Positivo
show;Positivo
Atendimento ridiculo;Negativo
Não resolveu nada.;Negativo
Will esta de parabéns sanou minhas dúvidas objetivamente e rápido.;Positivo
suporte excelente;Positivo
Não resolveu meu problema;Negativo
Wellington, um atendente bastante prestativo e bem informado.;Positivo
Atendente n fez o menor esforço p resolver minha situação, só repetia as mesmas coisas, não me deu suporte algum, vcs estão mt ruins com essas paradas, quando for fazer um serviço, faz direito. Sei que é ótima segurança isso da olx pay mas só da dor de cabeça, sempre um problema.;Negativo
atendimento muito demorado;Negativo
Simplesmente não foi respondido minha duvida e encerrou o chat!!!!?;Negativo
verdadeiro lixo, a olx é horrível, recusa pagamento com cartão de crédito alegando falsa justificativa que o problema é com cartão sendo que não tem nada de errado com cartão, se baseiam em mentiras, incompetentes.;Negativo
"Consegui resolver; Obg!";Positivo
obrigadoo;Positivo
não resolveu o problema;Negativo
acho que essa ferramenta (chat com um atendente) deveria ser acessada mais facilmente, poe exemplo, seria bom acessar essa ferramenta diretamente da home do site;Neutro
o atendimento foi razovelmente normal.pena que quando finalmente a resposta chegou,não tinha mais como resolver o problema que é recorrente(esta é salvo engano minha terceira ou quarta solicitação para resolver este problema de pagamento com MEUS CARTÕES DE CREDITO);Negativo
Foi explicado de forma direta e clara e objetiva minha necessidade sobre a duvida exposta da Olx Pay .. vou seguir com as orientacoes passadas pelo chat da OLX de duvidas dos clientes;Positivo
"Atendimento péssimo, até o presente momento, eu não tive retorno da solicitação sobre o OLX Pay. 
Tentei realizar a compra de um telefone pelo OLX pay e não foi aceito pela OLX, abri um chamado, liguei, e me falaram que iriam retornar em até 72 horas (coisa que não faz sentido pois estava com o vendedor no momento)";Negativo
Meu problema não foi resolvido. Fiz a compra por pix. Até agora não sei o que aconteceu com o meu cartão de crédito nessa plataforma. Continua bloqueado.;Negativo
Não gostei. Tentei usar a OLX para realizar compras mas a sua ferramenta não me permite ser cliente que compra. Válido meus cartões o estorno demorou a ocorrer e não consegui comprar nada do que queria pois como o retorno dado por vocês era que por motivos/criterios misteriosos de vocês não foi possível liberar a compra que eu queria. LAMENTÁVEL!!! Lhes informo que pela internet já há várias reclamações sobre a mesmo fato que estou reclamando e que não foi resolvido tb. Verifiquem melhor seus processos internos e escolham melhor sua ferramenta para processar pagamentos porque vcs estão perdendo clientes. A propósito comunico que o que foi problema com vcs foi resolvido comigo conseguindo comprar por outra ferramenta concorrente de vocês.;Negativo
o atendimento ficou muito a desejar pois ate agora estou sem entender o motivo pelo qual o cartao cadastrado nao efetivou a compra do item desejado sendo que o mesmo cartao ja foi utilizado para compras em diverços sites e nunca foi recusado mas no olx foi;Negativo
Demorou demais e quando recebi a solução, o cupom que eu utilizava, já não estava mais disponível. E, para piorar, agora estou tentando fazer outra compra e está acontecendo o mesmo erro, mesmo com meu cartão já verificado.;Negativo
A pior possível e não resolvi o problema. Irei procurar o PROCON.;Negativo
Problema ainda não resolvido;Negativo
O SISTEMA OLX PAY É UMA BOSTA E ESTÁ FADADO AO FRACASSO. NÃO APROVA CARTÕES QUE O COMPRADOR UTILIZA DIARIAMENTE E REALIZA COMPRAS DE VALORES MUITO MAIORES QUE O QUE NÃO APROVOU. SUPORTE TÉCNICO TOTALMENTE DESPREPARADO.;Negativo
Levei um golpe onde vendi uma cafeteira Expresso Dolce Gusto e o rapaz veio na minha casa pegou e depois cancelou a compra dizendo que eu não tinha entregue. Já falei com vcs várias vezes pelo chat, já mandei email e ninguém resolve nada. Fiquei sem a cafeteira e sem o dinheiro. Mas já estou vendo um advogado pra resolver isso.;Negativo
Não resolveu de nada, não posso comprar pela olx pay e não me fez nenhum sentido o aplicativo.;Negativo
Problema não resolvido. Não estou conseguindo acesso à OLX pay e por isso perdi a venda.;Negativo
Problema não resolvido. Atendimento não entra em contato, apenas mandam respostas automáticas;Negativo
bom, respondeu as duvidas a ser analisadas;Positivo
A empresa faz propaganda de uma forma de pagamento e não permite que a mesma seja realizada. Propaganda enganosa.;Negativo
A Sulamita respondeu com rapidez e de forma muito clara. Excelente funcionária.;Positivo
Foi um bom atendimento, sanou minhas dúvidas;Positivo
bom;Positivo
Bom;Positivo
Bom.;Positivo
Ótimo;Positivo
Ok;Neutro
ótimo;Positivo
vlw;Positivo
Bom;Positivo
bom;Positivo
Bom;Positivo
Ótimo;Positivo
ola;Neutro
Bom;Positivo
ÓTIMO;Positivo
Ruim;Negativo
Bom;Positivo
Ágil;Positivo
Ágil;Positivo
Ótimo;Positivo
Agil;Positivo
Top;Positivo
ótimo;Positivo
Ruim;Negativo
ok;Neutro
Ótimo;Positivo
Bom;Positivo
agil;Positivo
bom;Positivo
bom;Positivo
Bom;Positivo
Ok;Neutro
ok;Neutro
Bom;Positivo
ótimo;Positivo
Ok;Neutro
Ótimo;Positivo
Ótimo;Positivo
Ok;Neutro
ok;Neutro
Bom;Positivo
ok;Neutro
Ótimo;Positivo
Bom;Positivo
bom;Positivo
bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
top;Positivo
Bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Bom;Positivo
Ótimo;Positivo
Ótimo;Positivo
Bom!;Positivo
Bom;Positivo
Ótimo;Positivo
ok;Neutro
Ok.;Neutro
Ótimo;Positivo
ok;Neutro
Top;Positivo
Ótimo;Positivo
Bom;Positivo
??;Positivo
Bom.;Positivo
Ótimo;Positivo
Ótimo;Positivo
Bom;Positivo
ótimo;Positivo
Ótimo;Positivo
Ruim;Negativo
Ruim;Negativo
Ruim;Negativo
Ok;Neutro
olá;Neutro
Ola;Neutro
Ruim;Negativo
Ótimo;Positivo
Ótimo;Positivo
Ótimo;Positivo
Bomm;Positivo
Ótimo;Positivo
bom;Positivo
Ótimo;Positivo
Bom;Positivo
bom;Positivo
ótimo;Positivo
Olá;Neutro
Ótimo;Positivo
ótimo;Positivo
Ótimo;Positivo
Preco;Neutro
Ruim;Negativo
Oi;Neutro
Ruim;Negativo
opa;Neutro
Ruim;Negativo
oi;Neutro
Bom;Positivo
Preço;Neutro
Ruim, todos os anuncios que estou postando esta indo direto para o inativo. disseram que sabado dia 27 seria normalizado mas nada aconteceu, tenho os mesmos produtos para continuar anunciando mas infelizmente o olx nao posta meus produtos! tenho alguns produtos da mesma categoria mas o olx acha que estou postando o mesmo produto!. nao se dao nem ao trabalho de ver que sao diferentes!;Negativo
Atendimento indiferente, sem nenhuma oportunidade d reversão, sem nenhuma avaliação da minha resposta c pedido d desculpas, já q foi minha primeira vez q aconteceu esse infortúnio (inclusive sem eu entender o pq q estavam excluindo meu anúncio, pois confesso q não li os regulamentos, e pedi desculpas pelo ocorrido, e q não mais aconteceria... agora eu já sei...), uma maneira tirânica da OLX se comportar. Ainda bem q existe a concorrência p o pobre poder vender suas coisinhas!!!;Negativo
NÂO RESOLVEU MINHA SITUAÇÃO E FICOU CLARO QUE NÃO VAI RESOLVER, POIS COMO ENVIAR VIDEO PARA A EMPRESA. MUITO INSAFISFEITA E DECEPCIONADA .;Negativo
Foi perguntado uma coisa, e foi respondido outra, o site da OLX sempre está com problemas, muitas e muitas vezes não entra o anuncio, tem que ficar tentando dezenas de vezes, o anúncio no site não completa fica travado, tem que reclamar e ficar esperando dias para entrar,;Negativo
Tenho reclamado várias vezes e a sugestão apresentada não solucionou o problema.;Negativo
Resolveram bem rápido meu problema.;Positivo
A política de orientação e segurança de dados é péssima.;Positivo
"tenho tido problemas em renovar anuncios.

links não funcionam................";Negativo
Até hoje não recebi retorno sobre e-mail enviado;Negativo
Obrigada pelo breve retorno e so hoje consegui adicionar. Vamos ver daqui para frente. Uma ótima e abençoada semana!;Positivo
Ótimo atendimento.;Positivo
Ótimo e esclarecedor o atendimento;Positivo
E o reembolso do valor pago em duplicidade;Neutro
Coloquei um anuncio de uma TV de LED de 42 pelo OLX e tomei o maior golpe, recebi a confirmação do anuncio no site de vocês. Foi vendida e até agora não recebi esse $, estou procurando meus direitos via Reclame Aqui , Procon e Redes Sociais.;Negativo
Atendimento rápido e perfeito.;Positivo
não obrigado;Neutro
Está tudo certo com minhas dúvidas esclarecidas no momento.;Positivo
mo demora pra falar com atendente;Negativo
Não pude digitar nada antes do chat ser encerrado. Mesmo após LONGA espera em fila;Negativo
Gostei do atendimento foi rápido e prático;Positivo
Adorei e resolveu meu pedido !!! ??;Positivo
Ótimo atendente! Solucionou meu problema com agilidade.;Positivo
Obrigado!;Positivo
como fica valor pago ?;Neutro
Bom;Positivo
Carina foi atenciosa e assertiva na solução do meu problema! Foi ótimo ser atendido por ela.;Positivo
Excelente;Positivo
Excelente;Positivo
Cliquei no site de ajuda e não estou tendo ajuda nenhuma apenas jogo de empurra;Negativo
ótimo atendimento;Positivo
Excelente;Positivo
Vcs demoram para responder e não tem um telefone para contato, sendo assim prejudicando a resolução do problema.;Negativo
"ola por favar exluir conta uirisovfunilaria@gmail.com CPF -081.287.528-12 NAO CONSIGO ENTRAR NA CONTA , favor excluir pois quero entrar a minha outra conato Uirislima_1@hotmail.com 
Obrigado ! 12 99759-6061 meu contato";Neutro
Estou com a minha conta bloqueada.;Neutro
Não existiu atendimento e estou sendo lesado com uma falsa venda;Negativo
Meu problema não foi resolvido;Negativo
A minha experiencia foi extremamente ruim, minha conta foi bloqueada por algum motivo que nao sei qual, eu havia pago destaque do meu anuncio e pesquisa cautelar que voces oferecem e em seguida minha conta foi bloqueada, ao ser desbloqueado eu perdi o anuncio consequentemente perdi a pesquisa e o destaque que havia pago…;Negativo
Faz 4 dias que estou tentando acessar a conta e só recebi a mensagem de conta temporariamente suspensa.;Negativo
atendimento rapido e esclarecedor;Positivo
Plataforma de merda;Negativo
ola;Neutro
Fico no aguardo;Neutro
Não resolveram meu problema;Negativo
Foi muito bom falar contigo muito obrigado!;Positivo
obrigada!;Positivo
Foi rápido e super atencioso ?? parabéns e obrigada;Positivo
Atendimento nota 10 da Bárbara;Positivo
Tem como ver se minha conta do banco tá cadastrada?;Neutro
Estou muito feliz por fazer parte com a Olx desde o início até o final é uma empresa excelente pessoal todos qualificado meus parabéns fico muito grato por ter Olx ????;Positivo
Excelente;Positivo
A atendente foi excepcional! Muito prestativa e resolveu o meu problema! A única observação é que poderiam ter um canal de WhatsApp não robotizado para dar fluidez e mais agilidade no atendimento.;Positivo
Atendimento da OLX é muito ruim, até o momento não resolverão nada, minha conta continua sendo bloqueada independente sem justificativa da OLX e meu número de telefone da excedido se nem consigo usar minha conta por erro da Plataforma OLX;Negativo
Solução rapida e eficiente! Muito Obrigada!;Positivo
Prezado gestor e/ou ouvidoria. Protocolo 04891065 sem solução plausível. TUDO CONSIDERADO, peço que encaminhem (formalizem) pedido a NÍVEL DE GESTÃO para que autorizem o ENTREGA FÁCIL para meus anúncios para que eu possa UTILIZAR a plataforma OLX de forma que seja útil. Sem o ENTREGA FÁCIL, infelizmente não terei como usar a plataforma,. ENFIM ! Registre esta OCORRÊNCIA ESPECIAL a nível de gestão;Negativo
"Resolveram meu problema. Obrigado
Realmente foi eficiente";Positivo
"Declaro minha total insatisfação com o atendimento que recebi da OLX. O Chat só tem robô, onde pensam que somos idiotas e não há atendimento humato. Quando enviamos um e-mail, continuam a pensar que somo burros e ou ignorantes que não sabemos configurar nosso telefone a ter acesso à câmera do nosso aparelho celular. Enviei um e-mail perguntando o porque que no meu anúncio tem 20 Visitas e absolutamente menhuma mensagem para mim, e simplesmente me enviam resppostas automáticas. 
Irei cancelar o anúncio. Encontrarei, com ceeteza outra plataforma que realiza o mesmo trabalho. 
Claudia Cristina Azevedo";Negativo
Formem times com atendentes prestativos como a atendente Carina.;Positivo
Bloquearam minha conta sem necessidade, vejo anúncios igual eu fiz e vocês não bloqueiam, mas tá certo.;Negativo
Ainda não foi resolvido o problema de minha conta está sendo bloqueada frequentemente sem justificativa;Negativo
Tanta gente posta tanta aves e vcs simplesmente mim bloqueou eu estou pagando o preço pelo os outros eu não sou de tá postando certo tipo de coisa e vcs mim bloqueou mais tá bom obrigado;Negativo
